page,title,author,length,Agent
13,Confederacy of Fear,Blaine Pardoe,Length: 15 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,Star Wars Jedi: Battle Scars,Sam Maggs,Length: 10 hrs and 28 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,Monroe Doctrine: Volume VI,"James Rosone,Miranda Watson",Length: 9 hrs and 54 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,You've Lost a Lot of Blood,Eric LaRocca,Length: 4 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,Start with Why,Simon Sinek,Length: 7 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
13,We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,Start with Why,Simon Sinek,Length: 7 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,The Big Myth,"Naomi Oreskes,Erik M. Conway",Length: 21 hrs and 27 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,A Hacker's Mind,Bruce Schneier,Length: 8 hrs and 3 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,Icebreaker,Hannah Grace,Length: 13 hrs and 23 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,Down to a Science,Haley Cass,Length: 6 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,Promise Me Always,A.L. Jackson,Length: 12 hrs and 37 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,The Surgeon,Leslie Wolfe,Length: 10 hrs and 46 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,When Swords Fall Silent,"Bryce O'Connor,David Dalglish,JA Andrews,Terry Mancour,Luke Chmilenko,M.L. Wang,Marie Brennan,Michael J Sullivan,Philip C. Quaintrell,RJ Barker,Andrew Rowe",Length: 15 hrs and 6 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,(Not) the One,Donna Alam,Length: 11 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,The Last Party,Clare Mackintosh,Length: 13 hrs and 17 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
14,The Inmate,Freida McFadden,Length: 8 hrs and 5 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The Return of the Gods,Jonathan Cahn,Length: 8 hrs and 34 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The Cabinet of Dr. Leng,"Douglas Preston,Lincoln Child",Length: 14 hrs and 24 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Walk the Blue Line,"James Patterson,Matt Eversmann,Chris Mooney",Length: 8 hrs and 17 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The Lost Hero,Rick Riordan,Length: 16 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Slip Runner,"J.N. Chaney,M.F. Lerma",Length: 8 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The Levee,William Kent Krueger,Length: 3 hrs and 36 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The House Witch 3,Delemhach,Length: 13 hrs and 1 min,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Beg for It,Alexis Winter,Length: 7 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The Alabaster Girl,Zan Perrion,Length: 18 hrs and 55 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Certified Information Security Manager CISM Study Guide,Mike Chapple PhD CISM,Length: 19 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Brain Energy,Christopher M. Palmer MD,Length: 12 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Birnam Wood,Eleanor Catton,Length: 12 hrs and 47 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Legends & Lattes,Travis Baldree,Length: 7 hrs and 19 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Lassiter,J.R. Ward,Length: 15 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Fast Like a Girl,Dr. Mindy Pelz,Length: 8 hrs and 13 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The Betrayal Bind,Michelle Mays LPC CSAT-S,Length: 10 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,The Answer to Anxiety,Joyce Meyer,Length: 3 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,We Are Electric,Sally Adee,Length: 10 hrs and 22 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Death's Cathedral,"Ian Fortey,Ron Ripley",Length: 7 hrs and 26 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
15,Into the Headwinds,"Terryl Givens,Nathaniel Givens",Length: 3 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,How Far Do You Want to Go?,John Catsimatidis,Length: 8 hrs and 7 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The Emotional Lives of Teenagers,Lisa Damour Ph.D.,Length: 6 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,A Score to Settle,"Matthew Costello,Neil Richards",Length: 3 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Fairy Cakes in Winter,Lane Hayes,Length: 4 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Dempsey,"Brian Andrews,Jeffrey Wilson",Length: 12 hrs and 14 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Rowan,"Robin D. Mahle,Elle Madison",Length: 32 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Dragons & Damsels,"Marvin Knight,Misty Vixen,Deacon Frost,Virgil Knightley,Michael Dalton,Dan Raxor,Garrett Carter,Jack Bryce,Chase Danger,Stoham Baginbott",Length: 30 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Monroe Doctrine: Volume VI,"James Rosone,Miranda Watson",Length: 9 hrs and 54 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Paris,Paris Hilton,Length: 8 hrs and 22 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Murder Book,Thomas Perry,Length: 11 hrs and 35 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The Doctor's Wife,Daniel Hurst,Length: 7 hrs and 20 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The Bloodstone Brooch,Katherine Lowry Logan,Length: 30 hrs and 50 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The Silence of Unworthy Gods,Andrew Rowe,Length: 20 hrs and 43 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Mark of the Fool,J.M. Clarke,Length: 19 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The Whole-Brain Child,"Daniel J. Siegel,Tina Payne Bryson",Length: 6 hrs and 14 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Arcane Knight,Timothy McGowen,Length: 20 hrs and 6 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The Umpire Is Out,"Dale Scott,Rob Neyer - contributor,Billy Bean - foreword",Length: 10 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The London Séance Society,Sarah Penner,Length: 9 hrs and 59 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
16,The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,The Witching Hour,Anne Rice,Length: 50 hrs and 1 min,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,The Obesity Code,Dr. Jason Fung,Length: 10 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Your Consent Is Not Required,Rob Wipond,Length: 13 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,The Essays of Warren Buffett,"Lawrence A. Cunningham,Warren E. Buffett",Length: 15 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Pineapple Street,Jenny Jackson,Length: 8 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Dune,Frank Herbert,Length: 21 hrs and 2 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Standing Dead,Margaret Mizushima,Length: 9 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Aprende Inglés Mientras Duermes [Learn English While You Sleep],Sleeping Learning Audio,Length: 25 hrs and 55 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
17,Archer's Voice,Mia Sheridan,Length: 11 hrs and 7 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Hell Divers X: Fallout,Nicholas Sansbury Smith,Length: 12 hrs and 58 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,"A sus órdenes, mi general [At Your Command, My General]",J. Jesús Esquivel,Length: 4 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,"I, Human",Tomas Chamorro-Premuzic,Length: 4 hrs and 56 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Scattered Minds,Gabor Maté MD,Length: 10 hrs and 59 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,As a Man Thinketh,James Allen,Length: 55 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,The Magic of Thinking Big,David Schwartz,Length: 9 hrs and 31 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,World War Z: The Complete Edition,Max Brooks,Length: 12 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,In Order to Live,Yeonmi Park,Length: 9 hrs and 37 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Dark Alliance Turbulent Waters,I. T. Lucas,Length: 8 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Super Sales on Super Heroes 4,William D. Arand,Length: 12 hrs and 43 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Hold Me Close,Siobhan Davis,Length: 3 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Urchin,Mark Goodwin,Length: 8 hrs and 14 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Raising Healthy Teenagers,Thomas Kersting,Length: 4 hrs and 58 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,I Am Debra Lee,Debra Lee,Length: 9 hrs and 8 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,The Power to Change,Craig Groeschel,Length: 5 hrs and 42 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Codependent No More,Melody Beattie,Length: 8 hrs and 42 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,Principles,Ray Dalio,Length: 16 hrs and 5 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
18,A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,Jasper Vale,Devney Perry,Length: 9 hrs and 53 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,Dismount,Lucia Franco,Length: 13 hrs and 24 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,Run on Red,Noelle West Ihli,Length: 7 hrs and 28 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,Psycho Beasts,Jasmine Mas,Length: 15 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,Luca,Grey Huffington,Length: 10 hrs and 39 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,Boomer,Marie James,Length: 6 hrs and 42 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,The Red Pyramid,Rick Riordan,Length: 14 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
19,The Courage to Be Free,Ron DeSantis,Length: 8 hrs and 59 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
