page,title,author,length,Agent
4,They're Lying,Liz Collin,Length: 5 hrs and 20 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,Conspiracy of Dragons,Louisa Masters,Length: 7 hrs and 17 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,King of the Shadow Fae,Amelia Hutchins,Length: 8 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,Worthy Opponents,Danielle Steel,Length: 7 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,Twisted Secrets,Rachel Leigh,Length: 8 hrs and 44 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,Unbroken Bonds,J Bree,Length: 10 hrs and 49 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,The Three-Body Problem,"Cixin Liu,Ken Liu",Length: 14 hrs and 46 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,Weyward,Emilia Hart,Length: 10 hrs and 51 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,Unraveling Destiny,Amelia Hutchins,Length: 10 hrs and 55 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
4,The Path of Ascension 2,C. Mantis,Length: 17 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
